"paperID"	"obsID"	"measCat"	"n1i"	"m1i"	"sd1i"	"n2i"	"m2i"	"sd2i"	"measQuality"	"ecosystCat"	"studyType"	"InvNfix"	"NatNfix"	"Nfix"	"invGenera"	"traitCat"	"InvArea_qualRank"	"InvArea_cwm"	"InvSpInvArea_qualRank"	"InvSpInvArea_cwm"	"NatArea_qualRank"	"NatArea_cwm"	"CWMDiff_cwm"	"CWMDiff2_cwm"	"yi"	"vi"	"CWMDiff_qualRank"	"CWMDiff2_qualRank"	"sourceOverlap"
"17"	5	5.01	"no"	2	4.5	1.4142135623731e-05	2	4.75	0.353553390593274	"NoAgg.Conv"	"forest"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	">2spp"	"littercn"	1	49.7391052126991	1	30.475	1	55.53724375	-5.7981385373009	-25.06224375	-0.564189583096405	1.03978873570931	2	2	"PaperInPreviousMeta"
"18"	5	5.01	"no"	2	4.5	1.4142135623731e-05	2	4.75	0.353553390593274	"NoAgg.Conv"	"forest"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	">2spp"	"litterpercN"	1	1.22939403372244	1	1.6	1	1.08066666666667	0.14872736705577	0.51933333333333	-0.564189583096405	1.03978873570931	2	2	"PaperInPreviousMeta"
"19"	5	5.01	"no"	2	4.5	1.4142135623731e-05	2	4.75	0.353553390593274	"NoAgg.Conv"	"forest"	"field study"	"N-fixing"	"No N-fixers"	"Invasive N-fixers only"	">2spp"	"percN"	1	2.33546761899085	1	2.89920536666667	1	2.04459685714286	0.29087076184799	0.85460850952381	-0.564189583096405	1.03978873570931	2	2	"PaperInPreviousMeta"
"20"	6	6.01	"ammonif"	50	9.452	16.9705627484771	50	4.976	11.3844191771034	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.307380111785087	0.0404724126656051	3	3	"PaperInPreviousMeta"
"21"	6	6.01	"ammonif"	50	9.452	16.9705627484771	50	4.976	11.3844191771034	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.307380111785087	0.0404724126656051	3	3	"PaperInPreviousMeta"
"22"	6	6.01	"ammonif"	50	9.452	16.9705627484771	50	4.976	11.3844191771034	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.307380111785087	0.0404724126656051	3	3	"PaperInPreviousMeta"
"23"	6	6.01	"ammonif"	50	9.452	16.9705627484771	50	4.976	11.3844191771034	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.307380111785087	0.0404724126656051	4	4	"PaperInPreviousMeta"
"24"	6	6.01	"nitrif"	50	3.043	1.3717871555019	50	3.011	1.48492424049175	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.02221400254225	0.0400024673095447	3	3	"PaperInPreviousMeta"
"25"	6	6.01	"nitrif"	50	3.043	1.3717871555019	50	3.011	1.48492424049175	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.02221400254225	0.0400024673095447	3	3	"PaperInPreviousMeta"
"26"	6	6.01	"nitrif"	50	3.043	1.3717871555019	50	3.011	1.48492424049175	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.02221400254225	0.0400024673095447	3	3	"PaperInPreviousMeta"
"27"	6	6.01	"nitrif"	50	3.043	1.3717871555019	50	3.011	1.48492424049175	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.02221400254225	0.0400024673095447	4	4	"PaperInPreviousMeta"
"28"	6	6.01	"toti"	25	10.107	4.95	25	7.508	3.095	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.619698115010794	0.0838402575374793	3	3	"PaperInPreviousMeta"
"29"	6	6.01	"toti"	25	10.107	4.95	25	7.508	3.095	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.619698115010794	0.0838402575374793	3	3	"PaperInPreviousMeta"
"30"	6	6.01	"toti"	25	10.107	4.95	25	7.508	3.095	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.619698115010794	0.0838402575374793	3	3	"PaperInPreviousMeta"
"31"	6	6.01	"toti"	25	10.107	4.95	25	7.508	3.095	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.619698115010794	0.0838402575374793	4	4	"PaperInPreviousMeta"
"32"	6	6.01	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
